a_b	a_c	b_d	c_d
I like living here.	We like living here.	I like where I live.	Do you like the place where you live?
Tom is jacking off.	Tom is doing what he loves.	Tom is living his life to the fullest.	Tom is doing what he can.
Tom saw Mary laugh.	Tom noticed that Mary was laughing.	Tom said that Mary was amused.	Tom said that he thought that Mary was amused by what was going on.
He wants more cake.	He wants something more.	He's got plenty but he still wants more.	He wants that a lot.
He forced me to go.	He forced me to go there.	I was made to go there.	I went there of necessity.
The winner was Tom.	Tom was the one who won.	I think that Tom won.	Tom is the one that won.
There was a winner.	Who was the winner?	Tom was the winner.	I think that Tom won.
Ziri served drinks.	Ziri had a few cocktails.	Ziri drank scotch.	Ziri had a bottle of rum.
I love your accent.	Your accent is very interesting.	He has a good accent.	He speaks with a strange accent.
These aren't cheap.	These are expensive!	These things can't be cheap.	That is very expensive!
Tom was the winner.	Tom ended up winning.	Tom came close to winning.	Tom was able to win.
Let's take it easy.	I've got to take it easy.	I'm trying to take it easy.	I'm going to take it easy this weekend.
He doesn't know me.	He doesn't know who I am.	He doesn't know that I hate him.	Tom doesn't know that I hate him.
I hate that accent.	I'm unfamiliar with that accent.	What is it with your accent?	My accent is probably strange.
He called his name.	He heard somebody calling his name.	I heard somebody calling my name.	I heard my name being called by somebody.
I'm gonna slap you.	I'm going to beat you up.	I'm going to kill you.	I'm here to kill you.
It's bitterly cold.	The weather is unusually cold.	It's become very cold.	It's very cold now.
Tom headed to work.	Tom went to work that morning.	Tom just showed up for work.	Tom got off work early yesterday.
My budgie is happy.	Every animal can be happy.	The dog seems happy.	The dogs seem happy.
Remember Lockerbie!	Where's your locker?	Where's your suitcase?	Where's your luggage?
It's very personal.	This is personal to me.	I think it's personal.	That's a personal matter.
I forced Tom to go.	I asked Tom to leave.	Tom asked us to leave.	Tom decided to leave.
It's taken a while.	I've been waiting quite a while.	I've been waiting here a long time.	I've been waiting a long time.
Layla went outside.	Layla tried to find her way out.	Layla kept moving.	Layla was searching for a way out.
Layla noticed Sami.	Sami noticed Layla's reaction.	Sami looked at Layla's face.	Sami saw Layla's face.
Tom tried too hard.	Tom was too hard on himself.	Tom has been working too hard.	Tom hasn't been working hard enough.
No, I'm not hungry.	I'm not hungry right now.	I'm just not hungry.	I'm not very hungry right now.
It's not expensive.	It isn't too expensive.	It doesn't look expensive.	It isn't really all that expensive.
It's not effective.	This is completely ineffective.	This serves no useful purpose.	This is totally worthless.
I will pick Tom up.	We'll pick Tom up on the way.	I'll take Tom along with us.	Maybe we should take Tom with us.
Ziri doesn't fight.	Ziri didn't want to fight.	Ziri did not like that.	Ziri didn't want this.
Layla lied to Sami.	Sami lied to protect Layla.	Sami called Layla a liar.	Sami was lying to Layla.
It's not a gimmick.	These are just gimmicks.	They look rather fake.	They looked like genuine ones.
Tom isn't that fat.	Tom is kind of fat.	Tom certainly is fat.	I think that Tom is fat.
Layla turned white.	Layla joined a white-supremacy group.	Layla wanted to be part of the group.	Layla was involved in a lot of drama in high school.
Layla got arrested.	Layla was taken back to jail.	Layla was charged with kidnapping.	Layla went to prison again.
She hates shopping.	Tom hates shopping.	Tom hates air travel.	Tom doesn't like traveling by plane.
You are on the air!	I was on the air for two hours yesterday.	The departure of my plane had a two-hour delay.	My flight was delayed.
Don't quit English.	Don't be afraid to make mistakes when speaking English.	Don't be afraid of speaking in public.	Don't be afraid of making mistakes when speaking English.
I took the highway.	I went ahead on the road.	I decided to go on foot.	I went home on foot.
I'm at the library.	I'm in the library, reading a book.	Are you in the library?	What're you all doing in the library?
Go up these stairs.	I suggest we take the stairs.	Go down the stairs.	We'll take the stairs.
Tom began to worry.	Tom seemed worried.	Tom looked a bit concerned.	Tom looked worried.
Did Tom eat dinner?	Did Tom eat breakfast?	Has Tom eaten lunch yet?	Do you think Tom ate breakfast?
The queen must die.	The prince must die.	What would the prince like?	The prince has set out on a long journey.
Fill it up, please.	Please fill this water bottle.	I have a bottle of water.	The water is in the bottle.
Tom has dermatitis.	Tom needs a new dermatologist.	Tom would like to have a smooth skin.	Tom wishes he was more refined.
Go, it's your turn.	Either you go now or I will make you go.	I'll go provided you go with me.	If you want me to go with you, I will.
She's from Somalia.	She's from Kabylie, Algeria.	She was from Algeria.	She comes from Kabylie, Algeria.
Exercise regularly.	Try to exercise at least once a week.	You should do exercise.	Try losing weight by running a little.
Tom has a flatmate.	Tom and I are flatmates.	Tom is my current roommate.	Tom and I used to be roommates.
Why did you buy it?	Why did you buy that?	Why did you buy that one instead of the other one?	Why didn't you buy that?
Layla lived nearby.	Layla received help.	Layla has done her job.	Layla is looking for help.
Layla was captured.	Layla was a prison escapee.	Layla was caged behind the bars of a high security prison.	Layla was caged behind the bars of a state-of-the-art facility.
Is it him? "It is."	Who's that? "It's Tom."	Who's that talking to Tom?	Who's the guy Tom is talking to?
This dish is tasty.	This food is delicious.	This is my favorite meal.	This food truly is tasty.
Yanni was upstairs.	Yanni went upstairs and did what he was supposed to do.	Yanni will go upstairs.	Yanni needs to go upstairs to change.
I'm out of my mind.	Are you out of your mind?	I must be out of my mind.	You must be out of your mind to say that.
Dances with stumpy.	I do not know that dance.	I didn't know that you could dance.	I didn't think that you could dance.
I forgot your name.	I can't remember your name.	I don't know your name.	I don't know your name yet.
Layla was in shock.	Layla's face dropped.	Layla broke down crying.	Layla started sobbing.
He thrust me aside.	He advanced on me fiercely.	He walked vigorously ahead of us.	We walked more quickly than usual.
It's way too early.	It's not too early.	It's little too early to do that.	I think it's way too early to do that.
It's very puzzling.	It's kind of mind-boggling.	It boggled my mind.	It's mind boggling.
I smell like bacon.	Do you want some bacon?	You had bacon and eggs for breakfast, didn't you?	You had breakfast, didn't you?
Life is not convex.	Life is what we make of it.	The world is what we make of it.	Life is where you make it.
You can protect me.	I'm going to protect you.	I want to protect you.	We're going to protect you.
Tom pushed past me.	Tom was pushing me.	Tom started yelling at me.	Tom started screaming at me.
He grabbed the bar.	She grabbed his arm.	She squeezed his hand.	He put his arm around her.
He isn't my cousin.	Tom is not my cousin.	Tom isn't my oldest brother.	Tom isn't your brother.
Tom never went out.	Tom never said goodbye.	Tom never did like long goodbyes.	Tom didn't want to say goodbye.
He looks after her.	He takes good care of her.	He is particularly kind to her.	He was nice to her and her friends.
We'll check it out.	I'll try to check it out.	You should check it out.	I want you to check it out.
He learned to draw.	Early in life he showed a talent for painting.	He has a sharp eye for painting.	He is fond of painting.
I wish I had a son.	I wish I had a brother.	I want a little brother.	I also have a brother.
Tom isn't outgoing.	Tom wasn't very outgoing.	Tom isn't very sociable.	Tom had a hard time making friends.
My wife cooks well.	Is your wife a good cook?	She's a cook, isn't she?	She's a terrible cook, isn't she?
The light went out.	The electric light went out.	All the lights suddenly went out.	All of a sudden, all the lights went out.
These came for you.	I made these for you.	I wanted to give you these.	I made this for you.
They belong to him.	How do you know that belongs to him?	That belonged to him.	Does that belong to him?
I invited Tom over.	I invited Tom to come in.	Tom asked me to come.	Tom wanted you to come.
Tom was overweight.	Tom is a bit overweight.	Tom is a little overweight, isn't he?	Tom is overweight, isn't he?
Do you rent or own?	Do you have your own apartment?	Do you have a room to rent?	Do you have somewhere to stay?
He's going to sing.	He said that he'll sing.	I thought that I heard Tom was going to do that.	I think Tom said that he'd do that.
Can I get a pillow?	Would you like a pillow?	I need an extra pillow.	Give me another pillow, please.
He was texting her.	He sent a text message to her.	He finally got a text from her.	He got a text message from her.
Describe your room.	What room in your house do you spend the most time in?	Which room did you choose?	What rooms are there in your house?
I still can't move.	I was unable to move.	He was unable to move.	He was paralyzed in the face of danger.
He went over there.	He walked over there.	He made his way to the room.	He walked toward the door.
How long was I out?	How long have I been out?	How long has it been since you've been home?	How long have you two been out here?
This place is ours.	This place is mine.	This is my favorite spot.	This is my favorite place in the world.
